Wine,Price_USD,Points,description,variety
Domaines Schlumberger 2014 Saering Grand Cru Riesling (Alsace),29,96,"A touch of lemon balm adds a breezy freshness to the nose, while a pure, bright and precise notion of ripe lemon pervades and takes over the entire palate. On its fringes, delicious hints of chamomile and chervil appear alongside ripe red apple. This is a tantalizing charmer in spite of its absolute dryness and vivid acidity. Drink 2017–2037.",Riesling
Isole e Olena 2010  Chianti Classico,27,96,"This stunning Chianti Classico has an intense perfume of violet, rose and iris, accented with scents of truffle and forest berry. The wildly delicious palate presents a core of juicy cherry layered with sweet pipe tobacco, mint and spice, with a hint of well-integrated oak. It has great energy, with vibrant acidity and bracing but refined tannins. Drink 2016–2025.",Red Blend
Château Filhot 2014  Sauternes,28,96,"With its apricot and honeyed flavors, this is a rich wine. It has intense, ripe fruit and layers of spice and botrytis. A dry core gives it its great richness and aging potential. Drink from 2024.",Bordeaux-style White Blend
Donkey & Goat 2012 Grenache Noir Grenache (El Dorado),27,96,"Spicy in aroma and mouthfeel, this is a wondrous wine, gorgeous in lovely ripe cherry and strawberry notes that are completely enveloped in thrills of white pepper. Those who love cool climate Rhônes will find much to ponder and celebrate. Racy, it is fragrant and lean, made without fining or filtering. Seek this one out.",Grenache
Eichinger 2014 Gaisberg Reserve Riesling (Kamptal),28,96,"This wines arrives on tiptoe, citrus-scented and fresh, but once it expands on your palate it soon fills the mouth with all manner of stone fruits. As befits this vintage, everything is tempered with grapefruit zestiness but both mirabelle and apricot richness not only lend flavor but also a beautiful texture that insinuates quince and blood orange zest. What a triumph, what a marvel. Irresistible now but with incredible concentration this is built to last. Drink now till 2020 at least.",Riesling
Efeste 2009 Lola Chardonnay (Columbia Valley (WA)),30,96,"This is as good as the best from California—textural, creamy, a delicious mix of lemon custard, meringue, caramel, papaya and toasted coconut. At one quarter the price of comparable bottles, this young wine just seduces from the instant it hits the tongue.",Chardonnay
Rulo 2007 Syrah (Columbia Valley (WA)),20,96,"Superb fruit highlights this tight, sculpted Syrah. It's extremely dense, with deep and intense raspberry and cassis fruit flavor, augmented with coffee grounds, smoke and iron filings. Complex, detailed, balanced and deep—what more can a wine give you? This is drinking very young and surely needs to be decanted. But already displaying amazing power.",Syrah
The Eyrie Vineyards 2014 Estate Chardonnay (Dundee Hills),27,96,"Even if winemaker Jason Lett tripled the price of this wine, it would still be a standout among its peers. This opens with intense aromatics of pineapple fruit, bracing acidity and compelling length. On the second and third day after opening, it remained quite fresh and expressive, with further details of fruit and mineral beginning to emerge. Drink now through 2035.",Chardonnay
Sineann 2015 TFL Pinot Noir (Willamette Valley),30,96,"This ultra reserve, made in half bottles only, is labeled the winery's best offering. It lives up to the claim, with stunningly rich and broad flavors of black fruits, dusty cedar, tobacco, tea and coffee. The rich and complex barrel flavors are beautifully integrated, seamless and proportioned, and power through a breathtaking finish that lasts for minutes. Drink now and over the next five years.",Pinot Noir
Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),30,96,"One of the world's best PX wines is Solera 1927, the pride of Alvear. Whatever solera stocks went into this bottling were well selected. Aromas of maple and fine wood turn to fig and caramel. Saturation and weight on the palate are expected, but this has some (though not a lot) acidic cut. Deep flavors of fig and Nutella finish with nuttiness and warmth. Drink or hold.",Pedro Ximénez
Biondi 2014 Contrada Monte San Nicolò  (Etna),30,95,"Fragrant and loaded with finesse, this opens with aromas of wild berry, blue flower, new leather, aromatic herb and a whiff of exotic spice. The structured, elegant palate delivers layers of red cherry, strawberry, flinty mineral, orange zest, star anise and clove framed in firm, polished tannins and bright acidity. It's still young and will develop even more complexity. Drink 2019–2029.",Red Blend
COS 2014 Pithos Rosso Red (Vittoria),30,95,"Radiant and earthy, this blend of Frappato and Nero d'Avola boasts enticing scents suggesting dark-skinned berry, leather, sunbaked earth, sea breeze and a floral note. The creamy, succulent palate doles out juicy black cherry, black raspberry, white pepper and aromatic herb alongside supple tannins and fresh acidity. A saline note wraps up the finish. Drink 2017–2024.",Red Blend
Dunham 2010 Lewis Estate Vineyard Riesling (Columbia Valley (WA)),20,95,"Truly stunning, the Lewis Estate Riesling from Dunham explodes with fragrant fruits—citrus, melon and tropical. A symphony of subtle accents, such as powdered sugar, candied citrus peel and breakfast tea, this gorgeous bottle belongs with the short list of the very best of Washington's many Rieslings.",Riesling
Julien Schaal 2016 Kastelberg Grand Cru Schiste Riesling (Alsace),25,95,"Chamomile and ripe, red-apple notes make for an appetizing nose. The palate adds lovely vivid notes of zesty tangerine to this. Aromas of hay flowers also appear on this shimmering, aromatic, tight, taut and linear Riesling. Concentration fills the mouth with wonderfully light but sure-footed brightness and flavor. The dry long finish has a grounding earthy touch. Simply wonderful. Drink 2017–2035.",Riesling
